BAPID,Name,Standard,Std,F_type,Species ,Star_Stat,Country,Company ,Parent_Company ,latitude,longitude,Expiration,Language_Pref,M_tons_2015,Hatch_Output,Mill_Output,2015_CB,2015_Aud,2015_Min_N,2015_Maj_N,2015_Crt_N,M_tons_2016,2016_Aud,2016_Min_N,2016_Maj_N,2016_Crt_N
P10471,Mangala Seafoods,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Mangala Seafoods,Mangala Seafoods,9.905115177,76.29534702,7/30/17,TBD,540,,,NSF International,Mohan Varadhan,7,0,0,,,,,
P10472,PT. Windublambangan Sejati,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Indonesia,PT. Windublambangan Sejati,PT. Windublambangan Sejati,-8.163867817,114.3892999,5/19/17,TBD,258.25,,,NSF International,Yaddo Chen,22,2,0,,,,,
P10474,Browns Bay Packing Co. - Fresh Fish,Seafood Processing Plant Standard,3,Plant,Salmon,4,Canada,Browns Bay Packing Company,Browns Bay Packing Company,50.16206693,-125.3775211,9/10/17,TBD,6800,,,Global Trust,Marie-France Denoncourt,6,4,0,,,,,
P10476,Shree Dat Aquaculture Farms Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Shree Dat Aquaculture Farms Pvt. Ltd.,Shree Dat Aquaculture Farms Pvt. Ltd.,20.78097038,72.968574,6/30/17,TBD,3944,,,NSF International,Mohan Varadhan,8,0,0,,,,,
P10477,Salmoprocesos S.A.,Seafood Processing Plant Standard,3,Plant,Salmon,1,Chile,Salmoprocesos S.A.,Salmoprocesos S.A.,-42.63237376,-73.76156287,5/12/17,TBD,12637,,,NSF International,James Daniels ,7,2,0,,,,,
P10478,TG Fishery Holding Corporation,Seafood Processing Plant Standard,3,Plant,Pangasius,1,Vietnam,TG Fishery Holding Corporation,TG Fishery Holding Corporation,10.52472778,106.2340556,1/30/18,TBD,,,,,,,,,,,,,
P10479,"Jayalakshmi Sea Foods Pvt., Ltd",Seafood Processing Plant Standard,3,Plant,Shrimp,2,India,"Jayalakshmi Sea Foods Pvt., Ltd","Jayalakshmi Sea Foods Pvt., Ltd",16.534076,81.444229,6/9/17,TBD,1116,,,SGS India Pvt. Ltd.,Gobinda Mitra,5,0,0,,,,,
P10481,Sanchita Frozen Foods Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Sanchita Frozen Foods Pvt. Ltd.,Sanchita Frozen Foods Pvt. Ltd.,18.98923413,73.11762671,8/13/17,TBD,492,,,SGS India Pvt. Ltd.,Mujibar Rahaman,6,0,0,,,,,
P10482,Eco-Acuicola S.A.C.,Seafood Processing Plant Standard,3,Plant,Shrimp,3,Peru,Eco-Acuicola S.A.C.,Eco-Acuicola S.A.C.,-5.101579304,-80.59422212,4/13/17,TBD,2500,,,Global Trust,R C Ewing ,10,1,0,,,,,
P10483,Tai Kim Anh Seafood JSC,Seafood Processing Plant Standard,3,Plant,Shrimp,4,Vietnam,Tai Kim Anh Seafood JSC,Taika Seafood Corp.,9.643658333,105.9571194,1/7/18,TBD,2010,,,Bureau Veritas Certification Vietnam,Tran Minh Hieu,6,0,0,,,,,
P10484,R F Exports,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,R F Exports,R F Exports,9.834831,76.310735,8/5/17,TBD,632,,,NSF International,Mohan Varadhan,8,0,0,,,,,
P10485,PT. Tri Mitra Makmur,Seafood Processing Plant Standard,3,Plant,Shrimp,2,Indonesia,PT. Tri Mitra Makmur,PT. Tri Mitra Makmur,-7.693348,114.090969,7/2/17,TBD,797.23,,,SGS India Pvt. Ltd.,Syamsul Arifin,17,3,0,,,,,
P10488,KF Foods Co. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,3,Thailand,KF Foods Co. Ltd.,KF Foods Co. Ltd.,13.57886941,100.288321,8/4/17,TBD,2500,,,SGS Thailand,Sriwilai Ausanakul,12,0,0,,,,,
P10489,Phil-Union Frozen Foods Inc.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Phillippines,Phil-Union Frozen Foods Inc.,Phil-Union Frozen Foods Inc.,10.33266037,123.9873759,10/26/17,TBD,429.8,,,NSF International,Sirikul Teeraworamongkol,23,4,0,,,,,
P10491,Maoming Jincheng Frozen Foods Co. Ltd.,Seafood Processing Plant Standard,3,Plant,Tilapia,4,China,Maoming Jincheng Frozen Foods Co. Ltd.,Maoming Jincheng Frozen Foods Co. Ltd.,21.7525,110.8247222,7/21/17,TBD,2102,,,NSF International,Yaddo Chen,7,2,0,,,,,
P10492,Fuqing Dongwei Aquatic Products Industry Co. Ltd. ,Seafood Processing Plant Standard,3,Plant,Shrimp,3,China,Fuqing Dongwei Aquatic Products Industry Co. Ltd. ,Fuqing Dongwei Aquatic Products Industry Co. Ltd. ,25.60444444,119.4452778,10/23/17,TBD,1600,,,SGS China,David Liu,8,2,0,,,,,
P10493,PT. Wahyu Pradana Binamulia,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Indonesia,PT. Wahyu Pradana Binamulia,PT. Wahyu Pradana Binamulia,-5.10764,119.49952,9/16/17,TBD,1057.76,,,SGS Indonesia,Syamsul Arifin,16,3,2,,,,,
P10495,Sharat Industries Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Sharat Industries Ltd.,Sharat Industries Ltd.,14.43111111,80.14,8/26/17,TBD,1559.66,,,SGS India Pvt. Ltd.,Mujibar Rahaman,14,2,0,,,,,
P10497,Empacadora San Lorenzo,Seafood Processing Plant Standard,3,Plant,Shrimp,3,Honduras,Granjas Marinas,Sea Farms  Group,13.41719258,-87.449026,5/31/17,TBD,6208.96,,,Global Trust,Ralph Parkman,4,1,0,,,,,
P10498,Camanchaca Cultivos Sur S.A. BRC FOS,Seafood Processing Plant Standard,3,Plant,Mussels,2,Chile,Camanchaca Cultivos Sur S.A.,Camanchaca Cultivos Sur S.A.,-42.5452902,-73.80295429,2/25/18,TBD,9000,,,NSF International,Marco Daza,6,0,0,,,,,
P10501,Pesca S.A.,Seafood Processing Plant Standard,3,Plant,Shrimp/Mahi,1,Guatemala,Pesca S.A.,Pesca S.A.,13.9317289,-90.77358116,11/18/17,TBD,1801.38,,,Global Trust,Ralph Parkman,4,0,0,,,,,
P10502,Accion Acuicola S.A. de C.V.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Mexico,Accion Acuicola S.A. de C.V.,Accion Acuicola S.A. de C.V.,26.872175,-109.635181,11/10/17,TBD,"2,898.30",,,NSF International,James Daniels,6,3,0,,,,,
P10504,Universal Cold Storage Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Universal Cold Storage Pvt. Ltd.,Universal Cold Storage Pvt. Ltd.,16.54347615,81.47542357,10/28/17,TBD,1447,,,SGS India Pvt. Ltd.,Mujibar Rahaman,17,0,0,,,,,
P10505,PT. Indu Manis,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Indonesia,PT. Indu Manis,PT. Indu Manis,-7.1527975,112.6202999,2/27/17,TBD,4626,,,SGS India Pvt. Ltd.,Syamsul Arifin,16,3,0,,,,,
P10508,Saota Seafood Factory,Seafood Processing Plant Standard,3,Plant,Shrimp,4,Vietnam,Saota Seafood Factory,SAOTA Foods Joint Stock Co. (FIMEX VN),9.64075,105.95025,10/29/17,TBD,314,,,NSF International,Nguyen Ngoc Son,3,1,0,,,,,
P10509,Blue Park Seafood Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Blue Park Seafood Pvt. Ltd.,Blue Park Seafood Pvt. Ltd.,16.33835215,80.91307304,11/1/17,TBD,485,,,SGS India Pvt. Ltd.,Mujibar Rahaman,10,1,0,,,,,
P10510,Pesquera Del Mar Antartico S.A.,Seafood Processing Plant Standard,3,Plant,Salmon,1,Chile,Pesquera Del Mar Antartico S.A.,Pesquera Del Mar Antartico S.A.,-41.454758,-72.960049,2/3/17,TBD,,,,Global Trust,Conrad Powell,0,0,0,,,,,
P10511,Forstar Frozen Foods Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Forstar Frozen Foods Pvt. Ltd.,Forstar Frozen Foods Pvt. Ltd.,19.07686104,73.14194094,2/16/18,TBD,951.6,,,Bureau Veritas Certification India Pvt. Ltd.,Santhana Krishnan,14,3,0,,,,,
P10512,Chacabuco,Seafood Processing Plant Standard,3,Plant,Salmon,3,Chile,Marine Harvest- Chile ,Marine Harvest,-45.46217145,-72.82160954,1/29/18,TBD,,,,NSF International,Marco Daza,6,3,0,,,,,
P10513,Royale Marine Impex Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,3,India,Royale Marine Impex Pvt. Ltd.,Royale Marine Impex Pvt. Ltd.,15.86834066,80.4334887,11/22/17,TBD,1217,,,SGS India Pvt. Ltd.,Mujibar Rahaman,12,0,0,,,,,
P10514,Peruvian Andean Trout S.A.C. - Plant,Seafood Processing Plant Standard,3,Plant,Trout,3,Peru,Peruvian Andean Trout S.A.C. - Plant,Peruvian Andean Trout S.A.C. - Plant,-12.22889,-76.96778,6/4/18,TBD,,,,,,,,,,,,,
P10515,Caicaen,Seafood Processing Plant Standard,3,Plant,Salmon,3,Chile,Marine Harvest- Chile ,Marine Harvest,-41.79370924,-73.18239369,1/29/18,TBD,,,,NSF International,Marco Daza,7,2,0,,,,,
P10516,Thong Thuan Company Limited Ninh Thuan Branch - Shrimp Processing Factory No. 2,Seafood Processing Plant Standard,3,Plant,Shrimp,4,Vietnam,Thong Thuan Co. Ltd.,Thong Thuan Co. Ltd.,11.60665,108.999354,1/8/18,TBD,1800,,,SGS Vietnam,Bui Quang,10,2,0,,,,,
P10517,PT. Bahari Makmur Sejati - Medan,Seafood Processing Plant Standard,3,Plant,Shrimp,3,Indonesia,PT. Bahari Makmur Sejati - Medan,PT. Bahari Makmur Sejati - Medan,-6.187753262,106.3218229,12/31/17,TBD,,,,PT. Bureau Veritas Indonesia,Lucky Nugraha,4,2,0,,,,,
P10518,Davmercorp S.A.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Ecuador,Davmercorp S.A.,Davmercorp S.A.,-2.118361488,-79.94043925,11/14/17,TBD,"3,343",,,NSF International,James Daniels,16,1,0,,,,,
P10519,Hermitage Processing ,Seafood Processing Plant Standard,3,Plant,Salmon,4,Canada,True North Salmon Co.,True North Salmon Co.,47.56048333,-55.92931667,7/29/17,TBD,,,,Global Trust,R C Eqing,12,0,0,,,,,
P10520,GeneSeas Aquaculture Ltda. (Tropical),Seafood Processing Plant Standard,3,Plant,Tilapia,1,Brazil,GeneSeas Aquaculture Ltda.,GeneSeas Aquaculture Ltda.,-23.5134787,-46.74365709,12/23/17,TBD,894,,,Acoura Marine,Sally E A Moore,11,1,0,,,,,
P10521,Acuicola Gemso S.A. de C.V.,Seafood Processing Plant Standard,3,Plant,Tilapia,2,Mexico,Acuicola Gemso S.A. de C.V.,Acuicola Gemso S.A. de C.V.,29.27267234,-109.7578113,4/22/17,TBD,437.3,,,NSF International,Ralph Parkman,5,0,0,,,,,
P10523,Suryamitra Exim Pvt. Ltd. Unit 1,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Suryamitra Exim Pvt. Ltd.,Suryamitra Exim Pvt. Ltd.,16.48222087,81.51925228,3/18/18,TBD,920,,,NSF International,Amar Garapati,7,1,0,,,,,
P10526,St. Andrews Smoky Delicacies S.A.,Seafood Processing Plant Standard,3,Plant,Mussels,1,Chile,St. Andrews Smoky Delicacies S.A.,St. Andrews Smoky Delicacies S.A.,-42.61579549,-73.79004793,5/23/17,TBD,,,,NSF International,Marco Daza,12,4,0,,,,,
P10527,Vasista Marine,Seafood Processing Plant Standard,3,Plant,Shrimp,2,India,Vasista Marine,Vasista Marine,16.598696,81.550044,4/1/17,TBD,1228,,,NSF International,Mohan Varadhan,9,1,0,,,,,
P10532,M/S Naik Oceanic Exports Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,M/S Naik Oceanic Exports Pvt. Ltd.,M/S Naik Oceanic Exports Pvt. Ltd.,19.07917235,73.13761733,9/22/17,TBD,49.655,,,SGS India Pvt. Ltd.,Mujibar Rahaman,12,0,0,,,,,
P10535,Penver Products Pvt. Ltd.,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Penver Products Pvt. Ltd.,Penver Products Pvt. Ltd.,16.534416,81.443325,5/26/17,TBD,500,,,SGS India Pvt. Ltd.,Gobinda Mitra,10,2,0,,,,,
P10536,Mt. Cook Alpine Salmon,Seafood Processing Plant Standard,3,Plant,Salmon,2,New Zealand,Mt. Cook Alpine Salmon,Mt. Cook Alpine Salmon,-44.35,171.25,8/24/17,TBD,,,,Global Trust,David O'Sullivan,6,0,0,,,,,
P10537,Geo Seafoods,Seafood Processing Plant Standard,3,Plant,Shrimp,4,India,Geo Seafoods,Geo Seafoods,9.92886002,76.26278232,5/31/17,TBD,640,,,NSF International,Mohan Varadhan,5,0,0,,,,,
P10539,Anjaneya Seafoods,Seafood Processing Plant Standard,3,Plant,Shrimp,1,India,Anjaneya Seafoods,Anjaneya Seafoods,14.546666,79.991393,9/13/17,TBD,"1,452.80",,,NSF International,Anil Mallisetty,10,0,0,,,,,
P10540,Hai Son Foods Co Ltd. - Australis Aquaculture Vietnam Ltd.,Seafood Processing Plant Standard,3,Plant,Barramundi,3,Vietnam,Australis Aquaculture Vietnam Ltd.,Australis Aquaculture Vietnam Ltd.,12.21073401,109.1905672,7/15/17,TBD,189.6,,,Bureau Veritas Certification Vietnam,Tran Minh Hieu,11,4,0,,,,,
P10542,Promarisco S.A.,Seafood Processing Plant Standard,3,Plant,Shrimp,1,Ecuador,Pescanova,Pescanova,-2.212682077,-79.82678847,11/22/17,TBD,"21,684.18",,,Global Trust,R C (Guy) Ewing,7,0,0,,,,,
