bapid,country,latitude,longitude
F10410K,Canada,45.04359393,-66.87382049
F10410L,Canada,44.71898408,-66.73125572
F10410M,Canada,45.05266423,-66.8583508
F10410N,Canada,43.68672417,-65.17943773
F10410O,Canada,43.65486667,-65.28333333
F10410P,Canada,44.50413333,-64.04976667
F10410Q,Canada,43.68242281,-65.18256969
F10410R,Canada,44.67633748,-66.71057052
F10410S,Canada,44.68256255,-66.69988461
F10410T,Canada,44.72459779,-66.71853218
F10410U,Canada,44.7627389,-66.73685746
F10410V,Canada,44.62193126,-66.73619098
F10410W,Canada,45.0624195,-66.8328544
F10410X,Canada,44.71784444,-66.732175
F10411A,United States,44.8969,-67.0076
F10411B,United States,44.89630365,-67.0618309
F10411C,United States,45.04271154,-66.82517724
F10411D,United States,44.642364,-66.840289
F10411E,United States,44.12058333,-68.4385
F10411F,United States,44.60299314,-67.38226089
F10411G,United States,44.89815198,-67.00784597
F10411H,Canada,44.50285,-67.57538333
F10411I,Canada,44.49178333,-67.58011667
F10411J,Canada,44.49375,-67.55368333
F10412A,Newfoundland,47.647711,-56.220242
F10412B,Newfoundland,47.62499023,-55.87719269
F10412C,Newfoundland,47.64164786,-55.9161169
F10412D,Newfoundland,47.63265456,-55.89259929
F10412E,Newfoundland,47.63658751,-55.90633221
F10413B,India,15.7056405,80.27810018
F10413C,India,14.13600239,79.92794058
F10414,Thailand,9.441577259,98.45958037
F10415,Australia,-41.16522197,146.9146317
F10416,Vietnam,10.26266763,104.5852385
F10421,India,9.899473,79.123996
F10422A,Australia,-42.26072222,145.3246944
F10422B,Australia,-42.30522222,145.32625
F10422C,Australia,-42.2896,145.30415
F10422D,Australia,-42.34082,145.40819
F10425E,India,14.147101,79.930075
F10425F,India,14.19159,80.010667
F10425G,India,14.17677,79.992614
F10425I,India,14.18997,79.964109
F10425J,India,14.188639,79.962285
F10426,Australia,-17.70494167,146.0383278
F10427,Mexico,29.19021667,-109.7067833
F10429,China,22.05062,113.20084
F10430,India,15.65123889,80.18080278
F10432B,Thailand,9.253611111,99.59138889
F10432D,Thailand,10.26596,99.14481
F10433,India,15.708401,80.217153
F10434,China,23.93000634,106.130163
F10440F,India,16.837848,81.7331
F10440G,India,16.8816,82.1053
F10440H,India,16.8557,82.1239
F10441,Thailand,11.95972222,99.83305556
F10442A,India,15.32782,80.069343
F10442B,India,15.52124,80.194681
F10443,Indonesia,-7.721647222,113.7209333
F10444,Vietnam,9.195646241,105.6325047
F10446,Indonesia,-5.89369,105.72661
F10447,India,18.398915,84.145039
F10448A,India,17.30066389,82.603425
F10448B,India,16.856155,82.095037
F10448C,India,16.848218,82.102079
F10448D,India,16.853282,82.122357
F10448E,India,16.84819444,82.10477778
F10450A,Thailand,8.300197,98.391515
F10450B,Thailand,8.421227,98.557491
F10450C,Thailand,8.215844,98.339288
F10450D,Thailand,8.199013,98.413038
F10450E,Thailand,8.205602,98.311077
F10450F,Thailand,8.168611111,98.30527778
F10450G,Thailand,8.176111111,98.31055556
F10450H,Thailand,8.173333333,98.30361111
F10456,Thailand,12.72611111,101.7905556
F10457A,Canada,46.52334348,-63.72273557
F10457B,Canada,46.47863108,-63.45530776
F10457C,Canada,46.1654705,-62.52934568
F10457D,Canada,46.14671258,-63.21743316
F10457E,Canada,46.427872,-62.65867
F10458,Chile,-42.56076389,-73.66574444
F10459,China,21.46393047,109.7439556
F10462,Saudi Arabia,20.30129236,39.99075623
F10463,Saudi Arabia,20.26561111,39.99860833
F10465,Vietnam,10.44013333,107.3038611
F10469,China,19.49581944,110.4457935
F10470,China,19.60462852,110.2907507
F10471,China,19.57169286,110.2722486
F10473,Vietnam,10.24893666,106.189042
F10474,Vietnam,10.01386111,106.3444722
F10482,Vietnam,9.44025,106.1069722
F10486,Indonesia,-7.768694444,113.3548
F10487,Peru,-5.099117165,-80.56227035
F10488,Indonesia,-8.37897332,114.3493458
F10492,Vietnam,12.63326967,109.3065195
F10493,Guatemala,15.95763056,-89.267275
F10494,Colombia,5.55624,-72.90257
F10495,Colombia,2.437947222,-76.46694167
F10496,Colombia,2.633211111,-75.44725278
F10497,United States,42.70597,-114.82755
F10498,United States,42.67400519,-114.8128778
F10499,United States,42.67262634,-114.7748081
F10500,United States,42.65938213,-114.64278
F10502A,Chile,-43.9247761,-73.91029673
F10502B,Chile,-43.92233418,-73.8787003
F10504,Peru,-15.90355763,-69.72797112
F10505,India,16.39854007,81.47718473
F10506,Vietnam,9.168623,105.58521
F10507A,India,16.59643333,81.55706944
F10507B,India,16.50946111,81.50848333
F10507C,India,16.68456667,81.47324722
F10507D,India,16.68191896,81.4725606
F10507E,India,16.64728889,81.21851389
F10509,New Zealand,-46.979292,168.1108206
F10510,New Zealand,-46.99041707,168.1076878
F10516A,Thailand,9.226665783,99.56064863
F10516C,Thailand,9.227121154,99.56045551
F10517,China,25.91591879,119.4696347
F10518A,Ecuador ,-2.784416667,-79.76669444
F10518B,Ecuador ,-2.469861111,-80.02313889
F10520,Vietnam,8.789677551,105.238059
F10521,Ecuador ,-2.695794444,-80.00757778
F10522,China,21.77950284,110.6106743
F10523,India,14.15333333,79.90444444
F10525,China,19.8736095,110.8640568
F10526,China,19.90482602,110.6298004
F10527,China,19.72426061,110.7975324
F10532A,Thailand,7.725472222,99.173
F10532G,Thailand,7.677972222,99.26602778
F10532H,Thailand,7.771888889,99.15827778
F10532I,Thailand,7.699416667,99.21797222
F10532K,Thailand,7.719601216,99.18349786
F10532L,Thailand,7.813305556,99.16775
F10533A,Chile,-44.32752794,-73.93452503
F10533AA,Chile,-44.53161944,-73.64934167
F10533AB,Chile,-44.58441667,-73.96844444
F10533AE,Chile,-44.52445278,-73.78600556
F10533AH,Chile,-44.69536944,-73.64220556
F10533AI,Chile,-44.32949722,-73.70843611
F10533AJ,Chile,-44.24838389,-73.8797513
F10533AK,Chile,-44.74719653,-73.89747448
F10533AL,Chile,-44.87843889,-73.65028333
F10533AM,Chile,-44.65864444,-72.87863333
F10533AN,Chile,-44.60734722,-72.9234
F10533AO,Chile,-44.92697778,-73.74131944
F10533AQ,Chile,-45.07468889,-73.27760833
F10533AR,Chile,-44.32957222,-73.87915278
F10533AS,Chile,-44.48965,-74.23151111
F10533AT,Chile,-44.74735833,-73.96978889
F10533AU,Chile,-44.56662778,-73.93589167
F10533B,Chile,-44.34476681,-73.86356944
F10533C,Chile,-44.336239,-73.90014722
F10533D,Chile,-44.93009919,-73.73781741
F10533E,Chile,-44.99094178,-73.72149722
F10533F,Chile,-44.99447446,-73.72133788
F10533G,Chile,-44.05858069,-73.11676667
F10533H,Chile,-44.55305556,-72.70222222
F10533I,Chile,-44.57263611,-72.71748333
F10533J,Chile,-44.75832222,-72.76869167
F10533K,Chile,-44.93857231,-73.15523333
F10533O,Chile,-44.78605014,-72.93452503
F10533P,Chile,-44.55305556,-72.70222222
F10533Q,Chile,-43.91006275,-73.81506499
F10533R,Chile,-45.15991435,-73.34832458
F10533U,Chile,-44.62602778,-72.78402222
F10533V,Chile,-44.44804722,-73.99223611
F10533W,Chile,-44.28859722,-73.86211111
F10533X,Chile,-44.60700833,-73.79441667
F10533Z,Chile,-44.25793133,-73.81018467
F10534,Vietnam,10.43808333,105.5766667
F10535,Ecuador ,-2.588316667,-80.06066667
F10536,Ecuador ,-2.591335942,-80.04542026
F10537,Ecuador ,-2.578788889,-80.03781944
F10538,Ecuador ,-2.58095,-79.96694167
F10539,Chile,-44.60055556,-72.73722222
F10539A,Chile,-44.98166667,-73.77055556
F10539B,Chile,-44.59055556,-72.68027778
F10539C,Chile,-44.68,-72.79138889
F10539D,Chile,-44.74194444,-72.73138889
F10539E,Chile,-43.96611111,-73.12861111
F10539F,Chile,-42.46638889,-73.25361111
F10539G,Chile,-43.93722222,-73.115
F10539M,Chile,-44.20239444,-74.24366944
F10539R,Chile,-45.00702778,-73.77458333
F10539S,Chile,-42.59501389,-73.31513889
F10539T,Chile,-42.06299444,-72.49834444
F10539U,Chile,-44.21140194,-74.2868025
F10539V,Chile,-45.28194444,-74.14946389
F10547A,Vietnam,10.76808333,105.8528333
F10547B,Vietnam,10.79922325,105.8183603
F10547C,Vietnam,10.67616667,105.950275
F10547D,Vietnam,10.66679167,105.9539167
F10547E,Vietnam,10.77519166,105.8284244
F10547F,Vietnam,10.76679444,105.8334722
F10548,China,20.44773711,110.4725506
F10550,China,20.58444444,110.4491667
F10551A,United States,44.62538,-67.3157
F10551B,United States,44.63345,-67.29728
F10551C,United States,44.60445,-67.3831
F10551D,United States,44.62182741,-67.31627855
F10552A,Chile,-41.59315914,-72.743898
F10552B,Chile,-41.55369538,-72.77566566
F10552C,Chile,-45.04010068,-73.52358397
F10552D,Chile,-44.42444444,-72.64388889
F10552E,Chile,-44.64430556,-72.85833889
F10552F,Chile,-44.81611111,-72.85833333
F10556A,Canada,44.636125,-66.844589
F10556B,Canada,45.065,-66.6903
F10556C,Canada,44.62902778,-66.83316667
F10556D,Canada,47.61531667,-55.85396667
F10556E,Canada,44.642364,-66.840289
F10556F,Canada,44.042325,-64.63885
F10556G,Canada,44.64594444,-66.79686111
F10556H,Canada,47.65126111,-55.76846667
F10556I,Canada,47.64355278,-55.73424444
F10556J,Canada,44.61244444,-66.82708333
F10556K,Canada,44.62427778,-66.80125278
F10556L,Canada,44.65419444,-65.75396667
F10556M,Canada,45.10355,-66.579967
F10556N,Canada,45.08055556,-66.64388889
F10556P,Canada,44.66952778,-65.72097222
